2016.06,1116.386
2016.09,1070.874
2016.12,1054.408
2017.03,1010.665
2017.06,1233.7
2017.09,1282.436
2017.12,1290.82
2018.03,1412.007
2018.06,1488.055
2018.09,1497.678
2018.12,1570.507
2019.03,1393.749
2019.06,1517.143
2019.09,1381.514
2019.12,1370.985
2020.03,1073.017
2020.06,1131.445
2020.09,1440.101
2020.12,1489.979
2021.03,1390.782
2021.06,1826.73
2021.09,1710.073
2021.12,1559.479
2022.03,1285.083
2022.06,1684.422
2022.09,1665.926
2022.12,1501.095
2023.03,1209.443
2023.06,1424.748
2023.09,1414.896
